	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV7-9	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV5-8	TRBV21-1	TRBV30-1	TRBV6-1	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV4-3	TRBV23-1	TRBV7-5	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1	TRBV26-1
TRBJ2-4	0	0	20	6	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	5	0	0	1	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TRBJ2-5	0	1	84	58	200	12	18	3	0	0	1	9	8	0	4	3	72	32	0	18	161	20	0	12	19	0	0	2	5	64	2	56	7	0	0	9	8	0	9	0	4	13	3	6	0	0	49	0	0	0	1	0	0	0	3	0
TRBJ2-6	1	0	6	5	3	0	2	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	4	0	0	0	0	81	0	0	0	4	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1
TRBJ2-7	5	7	784	224	47	30	1	14	0	0	0	44	26	0	0	22	105	5	2	20	1767	14	0	1894	88	3	4	19	21	202	21	155	149	77	1	37	12	4	619	2	3	29	547	225	0	0	33	0	0	0	0	1	0	5	37	0
TRBJ2-1	1	53	111	149	68	29	10	89	0	1	3	68	89	0	2	25	68	10	0	8	2	10	0	2351	1	1	5	6	14	2	0	34	66	3	0	2	7	0	5	0	2	9	17	52	0	1	33	0	2	0	6	97	5	3	2	0
TRBJ2-2	0	6	14	60	8	167	1	6	1	1	19	243	4	0	0	1	10	3	0	2	1	2	16	74	1	0	2	1	3	0	0	15	2	1	0	0	20	0	5	0	4	0	16	1	0	0	33	0	0	0	18	1	0	12	5	0
TRBJ2-3	0	33	4	39	82	19	8	24	0	0	6	11	4	0	1	14	11	10	0	2	4	7	0	9	11	2	3	17	10	0	0	25	14	4	0	12	65	1	15	0	0	25	4	0	0	1	93	0	0	0	2	4	0	4	4	0
TRBJ1-6	0	0	13	1	0	0	0	7	0	0	0	2	0	0	0	2	2	0	0	0	2	1	0	950	0	0	0	48	0	0	0	0	12	1	0	0	193	0	2	0	0	0	1	0	0	0	1	11	0	0	0	5	150	25	0	0
TRBJ1-5	1	2	36	12	43	2	13	20	0	0	0	28	6	46	0	3	352	1	1	8	2	3	9	7	1	2	13	10	130	2	1	69	3	0	0	3	1	0	3	0	0	0	137	1	0	0	114	0	0	13	3	0	2	0	3	0
TRBJ1-4	0	0	161	4	43	38	2	1	0	0	0	2	1	0	0	3	0	1	0	4	0	18	0	1	0	0	0	1	6	0	0	11	44	0	0	0	7	0	379	0	0	2	2	0	0	28	14	0	0	0	0	0	12	0	3	0
TRBJ1-3	1	0	3	11	7	20	5	1	0	0	0	5	0	0	0	0	3	1	0	3	0	2	0	5	0	0	0	1	1	0	1	3	1	1	0	0	2	0	73	0	2	17	4	0	0	0	20	0	0	0	0	0	3	0	0	0
TRBJ1-2	1	5	19	7	21	141	1	8	0	0	2	53	16	0	0	32	19	4	0	12	23	1	0	93	3	3	0	31	20	0	0	46	49	7	0	0	23	0	53	2	1	6	9	1	0	1	236	0	0	2	1	10	0	2	8	0
TRBJ1-1	0	7	407	106	19	8	13	35	0	0	2	29	87	0	3	35	80	1	0	27	3	10	0	58	4	0	2	8	5	0	1	230	40	0	0	3	97	0	86	1	3	31	138	1	0	0	465	0	0	0	4	6	2	1	190	0
