	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV10-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV23-1	TRBV16-1	TRBV24-1	TRBV4-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	4	5	5	1	0	4	0	0	0	0	2	2	0	1	4	4	0	0	0	0	7	0	12	1	0	0	2	3	0	0	13	1	1	0	3	1	1	3	1	2	0	0	2	1	0	2	2	0	1	3	2	1	5
TRBJ2-5	0	8	67	54	188	2	30	2	1	1	0	22	12	0	4	17	92	16	1	29	3	36	2	47	23	0	3	15	4	137	0	84	27	6	7	14	0	10	24	7	2	17	0	21	12	15	47	1	0	13	9	5	3	22
TRBJ2-6	2	4	8	6	2	1	1	1	0	0	2	4	2	0	0	7	6	0	0	1	2	1	0	6	0	0	0	1	1	0	0	10	12	2	0	5	0	4	5	1	1	1	0	2	0	0	4	0	0	2	3	1	2	2
TRBJ2-7	0	30	681	81	403	4	21	4	0	1	0	76	32	0	8	58	85	15	2	23	1248	60	2	1508	38	0	12	37	16	144	10	167	111	71	14	55	9	38	160	51	20	45	0	465	283	2	30	2	1	11	28	6	7	29
TRBJ2-1	0	34	135	54	110	0	16	94	0	0	4	49	44	0	18	72	79	14	0	19	8	42	0	1608	6	2	1	29	3	7	5	133	63	12	11	23	0	17	24	58	2	17	0	45	14	2	54	2	2	13	27	15	22	14
TRBJ2-2	0	14	26	35	27	2	17	3	0	2	14	114	11	0	7	17	29	10	0	18	6	23	5	49	1	0	3	12	0	2	1	18	27	4	7	46	1	7	15	132	3	19	0	48	1	2	28	1	0	17	24	4	25	8
TRBJ2-3	1	39	34	36	57	1	12	5	0	0	12	20	10	0	8	23	25	14	0	11	4	37	0	74	8	0	4	63	6	4	0	80	41	10	17	71	0	12	27	73	0	22	0	17	3	4	55	0	0	11	19	12	6	26
TRBJ1-6	0	2	4	5	2	0	6	0	0	0	0	22	5	0	0	10	10	0	0	4	2	9	0	416	2	0	3	72	1	2	0	14	11	8	2	90	0	7	7	9	0	0	0	18	4	0	13	12	0	0	3	45	26	7
TRBJ1-5	0	6	49	22	96	3	14	1	0	1	0	23	11	2	4	59	274	0	0	8	14	12	1	18	5	1	3	34	3	0	4	82	44	6	8	13	0	3	10	42	0	8	1	40	9	0	37	0	1	6	14	9	0	9
TRBJ1-4	0	5	77	5	14	1	5	0	0	0	0	8	7	0	0	11	4	3	0	4	5	5	0	11	3	0	0	6	0	0	1	25	23	3	2	8	1	6	307	13	2	11	0	15	0	24	64	0	0	2	8	4	0	16
TRBJ1-3	0	4	20	4	7	0	4	1	0	0	0	7	4	0	1	7	2	8	0	14	7	11	0	18	3	0	2	3	1	1	1	19	10	9	5	12	0	3	7	53	0	1	0	9	1	0	37	2	0	5	6	2	0	12
TRBJ1-2	0	25	77	20	50	8	10	0	0	1	10	62	17	0	0	123	44	14	0	34	2	36	0	44	24	0	3	27	8	4	0	143	39	7	5	16	0	78	94	151	1	20	0	24	3	2	30	1	5	4	11	12	3	23
TRBJ1-1	0	44	337	99	36	1	23	11	0	1	1	287	57	0	5	26	61	5	0	26	8	37	0	82	9	0	6	52	1	1	4	197	57	12	17	60	0	13	128	35	5	39	0	89	5	1	28	1	0	3	64	8	3	129
