	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV8-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV12-1	TRBV10-2	TRBV11-1	TRBV10-3	TRBV4-3	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	1	16	89	19	26	18	1	3	17	0	0	2	29	2	0	3	15	5	1	0	6	1	38	0	7	0	3	10	1	2	0	61	23	2	0	1	29	0	0	27	9	2	4	0	41	0	0	0	3	0	4	0	4	2	3	4	7
TRBJ2-5	41	119	77	545	161	303	39	167	52	0	0	25	421	44	1	37	102	35	97	2	64	528	42	2	175	2	30	70	39	62	14	506	223	47	0	256	659	0	0	202	145	9	430	0	526	0	18	9	35	0	12	0	84	19	92	75	95
TRBJ2-6	0	32	30	24	37	34	46	11	10	0	0	35	12	21	0	16	4	4	0	0	12	1	1	0	24	0	3	25	2	1	1	50	23	8	1	3	1	0	0	24	9	3	19	0	12	1	8	8	9	0	0	0	7	0	5	10	8
TRBJ2-7	6	761	1450	6026	717	461	112	346	905	7	1	118	931	137	1	383	412	287	509	3	496	173	123	6	585	1	89	170	31	63	51	1582	467	220	0	115	697	26	0	606	1007	72	1460	1	282	5	1128	16	124	2	16	31	131	132	278	137	160
TRBJ2-1	4	183	373	1818	341	216	127	313	301	0	1	154	313	77	0	125	193	123	144	0	45	24	223	19	1501	0	10	128	15	12	35	742	239	55	0	45	482	29	0	606	421	41	102	2	1822	19	30	28	141	0	9	1	72	72	84	884	207
TRBJ2-2	0	253	143	277	130	60	9	87	205	0	2	82	144	2409	0	71	107	58	72	1	34	6	24	1	186	1	8	118	7	22	42	318	81	48	0	11	371	2	0	229	111	28	190	0	139	0	26	19	97	0	4	0	47	80	23	230	38
TRBJ2-3	3	109	130	373	250	189	68	575	111	0	1	65	496	29	0	30	121	75	55	0	52	4	32	1	329	0	30	97	12	3	22	406	342	43	0	36	310	28	0	368	276	66	79	0	93	0	75	5	38	0	5	3	107	322	45	295	40
TRBJ1-6	0	26	153	58	90	1	3	3	29	0	0	35	248	40	0	4	26	5	71	0	86	17	14	9	55	0	6	160	4	33	1	82	32	7	0	8	25	0	0	109	62	5	7	0	45	0	2	3	9	0	4	15	2	5	5	9	5
TRBJ1-5	22	26	593	248	161	191	20	110	98	0	4	9	624	123	0	5	120	38	53	0	24	16	41	17	79	0	87	277	43	9	4	322	137	31	0	56	193	1	0	188	129	18	6	0	748	24	12	2	27	0	8	13	34	16	15	17	188
TRBJ1-4	0	205	47	97	64	6291	47	7	54	0	0	2	71	87	0	3	63	13	14	0	6	6	13	3	69	0	9	76	4	7	4	112	54	145	0	6	62	2	0	91	59	8	59	0	124	0	4	0	27	0	4	0	437	0	16	3	149
TRBJ1-3	0	51	25	36	44	51	9	115	47	0	0	0	102	57	0	13	12	7	2	0	29	4	7	1	82	0	2	45	7	5	3	93	252	12	0	5	116	0	1	129	44	31	7	0	60	0	1	0	5	0	2	0	4	8	6	24	14
TRBJ1-2	0	307	243	662	423	355	77	45	102	0	0	12	434	62	2	17	94	22	30	1	215	114	251	12	536	0	40	88	8	8	0	337	278	167	0	63	353	4	0	528	178	64	78	1	256	0	30	21	117	0	16	2	140	30	224	35	120
TRBJ1-1	0	220	748	755	192	141	73	162	230	1	1	27	355	114	0	22	133	39	121	0	52	37	74	10	230	0	10	117	13	26	3	329	450	64	0	127	543	3	0	2764	224	24	298	3	407	0	208	168	83	0	2	2	9	90	31	364	215
